Weapon,Picture,Weapon Type,Attack Type,Base Dmg,Cooldown Stat,Base Range,Recoil Duration,Base Crit Chance,Crit Multiplier,Amount of Projectiles,Bounces,Bounce Damage Falloff,Amount of Pierces,Base Pierce Damage Falloff,Extra Hits on Crit,Reload every x Shots,Reload Multiplier,Base Burn Damage,Burn Ticks,Base Spawn Dmg,Spawned Projectiles,Spawn Base Bounces,Spawn Base Bounce Falloff,Spawn Base Piercing,Spawn Base Piercing Falloff,Spawn Crit Mult,Spawn Base Crit Chance,Spawn Scaling,Spawn Stat,1 Flat Scaling,2 Flat Scaling,3 Flat Scaling,Special Stat Name,Prim Stat,Prim Stat Multiplier,2 Scaling Stat,2 Scaling Stat Multiplier,3 Scaling Stat,3 Scaling Stat Multiplier,Projectile Speed,Knock- back,Accuracy,Projectile Spread,Base Price,Explosion Chance,Explosion Size,Hitbox X,Hitbox Y,Weapon Note
Cacti Club 1,,Melee,Swing,15,63,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,1,3,0,0.5,0,0.5,2,0.03,0.6,6,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,8,1,0,20,0,0,88,32,"Spines spawn per enemy hit, spines can life steal, apply burn and slow with sausage/ugly tooth"
Cacti Club 2,,Melee,Swing,20,58,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,2,4,0,0.5,0,0.5,2,0.03,0.7,6,0.85,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,8,1,0,39,0,0,88,32,"Spines spawn per enemy hit, spines can life steal, apply burn and slow with sausage/ugly tooth"
Cacti Club 3,,Melee,Swing,30,54,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,3,5,0,0.5,0,0.5,2,0.03,0.8,6,0.9,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,8,1,0,74,0,0,88,32,"Spines spawn per enemy hit, spines can life steal, apply burn and slow with sausage/ugly tooth"
Cacti Club 4,,Melee,Swing,60,45,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,4,6,0,0.5,0,0.5,2,0.03,1,6,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,8,1,0,149,0,0,88,32,"Spines spawn per enemy hit, spines can life steal, apply burn and slow with sausage/ugly tooth"
Chain Gun 4,,Ranged,Projectile,2,2,500,0.02,0.03,1.5,3,0,0.5,1,0.5,0,100,60,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Engineering,1.0,,1.0,3000,5,0.8,0.3,270,0,0,Ranged,Ranged,
Chopper 1,,Melee,Swing,6,27,135,0.1,0.1,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.15,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Max_HP,1.0,,1.0,Melee,2,1,0,15,0,0,72,16,
Chopper 2,,Melee,Swing,12,25,150,0.1,0.15,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Max_HP,1.0,,1.0,Melee,2,1,0,31,0,0,72,16,
Chopper 3,,Melee,Swing,18,23,165,0.1,0.2,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.25,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Max_HP,1.0,,1.0,Melee,2,1,0,61,0,0,72,16,
Chopper 4,,Melee,Swing,30,18,180,0.1,0.25,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.3,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Max_HP,1.0,,1.0,Melee,2,1,0,122,0,0,72,16,
Circular Saw 2,,Melee,Swing,10,8,175,0.1,0.05,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,0,1,0,46,0,0,56,24.5,
